dt,xi_x,xi_y,xi_z,dot_xi_x,dot_xi_y,dot_xi_z
0.01,0,0,0,0,0,238.383
0.01,2.20391,2.20391,12.7887,-132.235,-132.235,-1002.81
0.01,2.22697,2.22697,12.2921,-59.2333,-59.2333,-685.054
0.01,2.24135,2.24135,11.8186,-34.1639,-34.164,-542.882
0.01,2.24744,2.24744,11.3674,-27.9856,-27.986,-471.513
0.01,2.24566,2.24566,10.9376,-29.0819,-29.0826,-429.011
0.01,2.2364,2.2364,10.5284,-32.8071,-32.8083,-398.579
0.01,2.2201,2.2201,10.1389,-37.3054,-37.3071,-373.478
0.01,2.19717,2.19717,9.76861,-41.8372,-41.8396,-350.999
0.01,2.16803,2.16802,9.41663,-46.1112,-46.1142,-330.038
0.01,2.1331,2.13309,9.0823,-50.0159,-50.0196,-310.146
0.01,2.0928,2.09278,8.76494,-53.513,-53.5174,-291.13
0.01,2.04754,2.04751,8.46387,-56.5941,-56.5992,-272.902
0.01,1.99773,1.99769,8.17843,-59.2636,-59.2693,-255.42
0.01,1.94376,1.94372,7.90798,-61.5318,-61.5383,-238.659
0.01,1.88605,1.886,7.65188,-63.4121,-63.419,-222.601
0.01,1.82496,1.8249,7.40949,-64.9195,-64.927,-207.233
0.01,1.76087,1.7608,7.18018,-66.0704,-66.0782,-192.542
0.01,1.69414,1.69406,6.96335,-66.8818,-66.8899,-178.517
0.01,1.62513,1.62504,6.75839,-67.3712,-67.3796,-165.144
0.01,1.55417,1.55406,6.56468,-67.557,-67.5654,-152.414
0.01,1.48157,1.48146,6.38165,-67.4572,-67.4658,-140.313
0.01,1.40766,1.40753,6.2087,-67.0905,-67.099,-128.828
0.01,1.33272,1.33258,6.04527,-66.4746,-66.4831,-117.943
0.01,1.25703,1.25688,5.89079,-65.6277,-65.636,-107.645
0.01,1.18086,1.1807,5.74472,-64.5673,-64.5751,-97.9163
0.01,1.10446,1.10429,5.60651,-63.3099,-63.3175,-88.7393
0.01,1.02806,1.02788,5.47566,-61.8719,-61.879,-80.0963
0.01,0.951893,0.951693,5.35166,-60.2689,-60.2755,-71.9659
0.01,0.87616,0.875948,5.23403,-58.5153,-58.5214,-64.3287
0.01,0.80106,0.800839,5.1223,-56.6248,-56.6304,-57.1624
0.01,0.726781,0.726551,5.01602,-54.6107,-54.6156,-50.4441
0.01,0.653499,0.653259,4.91478,-52.4848,-52.4889,-44.152
0.01,0.581377,0.581129,4.81818,-50.2581,-50.2615,-38.2609
0.01,0.510571,0.510315,4.72583,-47.9416,-47.9444,-32.7464
0.01,0.441227,0.440965,4.63739,-45.5447,-45.5465,-27.5854
0.01,0.373484,0.373217,4.55252,-43.0767,-43.0778,-22.7503
0.01,0.307472,0.307199,4.47093,-40.5461,-40.5467,-18.2192
0.01,0.243311,0.243034,4.39235,-37.9612,-37.9612,-13.9664
0.01,0.181118,0.180838,4.31651,-35.3301,-35.3295,-9.96753
0.01,0.120999,0.120716,4.2432,-32.66,-32.6589,-6.19835
